,Rank,Frequency,Rank X Frequency
을,1,58673,58673
는,2,57940,115880
다,3,56899,170697
이,4,53151,212604
를,5,38272,191360
의,6,35454,212724
에,7,35049,245343
하,8,34543,276344
은,9,28456,256104
고,10,24344,243440
있,11,22736,250096
한,12,22149,265788
가,13,20987,272831
으로,14,19711,275954
에서,15,17663,264945
했,16,17119,273904
도,17,13813,234821
로,18,13598,244764
등,19,13277,252263
과,20,12707,254140
할,21,11653,244713
수,22,11129,244838
해,23,10753,247319
것,24,10745,257880
와,25,10191,254775
들,26,9289,241514
인,27,8976,242352
적,28,8708,243824
일,29,8556,248124
기술,30,7782,233460
년,31,7442,230702
한다,32,7269,232608
게,33,6631,218823
만,34,6366,216444
기,35,5927,207445
되,36,5502,198072
서비스,37,5047,186739
어,38,5021,190798
원,39,5006,195234
면,40,4732,189280
지,41,4697,192577
화,42,4690,196980
사업,43,4665,200595
월,44,4640,204160
된,45,4636,208620
며,46,4629,212934
시장,47,4552,213944
제품,48,4442,213216
LG,49,4352,213248
기업,50,4134,206700
TV,51,4113,209763
미국,52,3877,201604
까지,53,3832,203096
통해,54,3793,204822
사용,55,3690,202950
개발,56,3652,204512
말,57,3591,204687
CES,58,3564,206712
삼성전자,59,3564,210276
된다,60,3386,203160
전자,61,3372,205692
세계,62,3342,207204
제공,63,3313,208719
성,64,3298,211072
기자,65,3275,212875
라고,66,3204,211464
산업,67,3189,213663
정보,68,3135,213180
않,69,3021,208449
게임,70,3009,210630
억,71,2997,212787
중,72,2904,209088
었,73,2860,208780
지난해,74,2841,210234
차,75,2824,211800
및,76,2791,212116
대,77,2786,214522
됐,78,2747,214266
올해,79,2717,214643
자,80,2673,213840
가능,81,2627,212787
밝혔,82,2610,214020
스마트,83,2610,216630
면서,84,2597,218148
부터,85,2596,220660
기능,86,2556,219816
개,87,2529,220023
지원,88,2529,222552
받,89,2521,224369
연구,90,2486,223740
대표,91,2456,223496
시간,92,2442,224664
다고,93,2420,225060
형,94,2419,227386
미래,95,2407,228665
될,96,2392,229632
다는,97,2375,230375
통신,98,2353,230594
주행,99,2323,229977
데이터,100,2317,231700
계획,101,2294,231694
스마트폰,102,2290,233580
혁신,103,2279,234737
출시,104,2270,236080
위해,105,2264,237720
없,106,2263,239878
업체,107,2254,241178
주,108,2243,242244
전,109,2208,240672
다양,110,2198,241780
AI,111,2176,241536
아,112,2163,242256
국내,113,2161,244193
공개,114,2143,244302
에게,115,2126,244490
자율,116,2117,245572
명,117,2115,247455
지만,118,2098,247564
겠,119,2090,248710
라스베이거스,120,2087,250440
도록,121,2063,249623
나,122,2036,248392
글로벌,123,2024,248952
앱,124,2023,250852
보다,125,2007,250875
로봇,126,1992,250992
이번,127,1982,251714
한국,128,1973,252544
기반,129,1973,254517
분야,130,1962,255060
모바일,131,1960,256760
더,132,1922,253704
최대,133,1882,250306
던,134,1871,250714
적용,135,1840,248400
위한,136,1836,249696
그,137,1826,250162
시스템,138,1818,250884
기존,139,1814,252146
신,140,1809,253260
예정,141,1790,252390
인공지능,142,1784,253328
대한,143,1779,254397
위,144,1776,255744
회장,145,1773,257085
새로운,146,1771,258566
내,147,1754,257838
성장,148,1751,259148
투자,149,1736,258664
가전,150,1734,260100
SK,151,1731,261381
현지,152,1718,261136
자동차,153,1716,262548
고객,154,1713,263802
중국,155,1700,263500
IoT,156,1698,264888
같,157,1694,265958
았,158,1693,267494
활용,159,1663,264417
사진,160,1640,262400
강화,161,1640,264040
관련,162,1639,265518
라는,163,1636,266668
센터,164,1626,266664
갤럭시,165,1624,267960
KT,166,1623,269418
기기,167,1605,268035
사장,168,1598,268464
인터넷,169,1594,269386
또,170,1566,266220
이용,171,1562,267102
보,172,1561,268492
확대,173,1558,269534
삼성,174,1557,270918
전략,175,1544,270200
많,176,1504,264704
용,177,1496,264792
소비자,178,1496,266288
이상,179,1495,267605
습니다,180,1482,266760
조,181,1480,267880
간,182,1444,262808
탑재,183,1432,262056
IT,184,1429,262936
필요,185,1423,263255
경제,186,1418,263748
부,187,1418,265166
진행,188,1415,266020
함께,189,1402,264978
디스플레이,190,1399,265810
때문,191,1397,266827
콘텐츠,192,1395,267840
아니,193,1393,268849
전망,194,1383,268302
지난,195,1383,269685
뉴스,196,1381,270676
서울,197,1379,271663
가장,198,1349,267102
정부,199,1348,268252
업계,200,1347,269400
방송,201,1337,268737
회사,202,1337,270074
오,203,1324,268772
라,204,1318,268872
발표,205,1304,267320
만들,206,1302,268212
우리,207,1292,267444
현재,208,1282,266656
높,209,1274,266266
여,210,1255,263550
시,211,1252,264172
사,212,1247,264364
규모,213,1238,263694
시작,214,1233,263862
폼,215,1230,264450
관리,216,1224,264384
연결,217,1223,265391
구글,218,1221,266178
해야,219,1219,266961
경우,220,1215,267300
인식,221,1211,267631
영상,222,1204,267288
분석,223,1202,268046
플랫,224,1200,268800
음성,225,1194,268650
D,226,1192,269392
설명,227,1189,269903
권,228,1186,270408
CEO,229,1163,266327
때,230,1160,266800
최근,231,1159,267729
G,232,1158,268656
안,233,1142,266086
강조,234,1142,267228
A,235,1139,267665
애플,236,1136,268096
두,237,1135,268995
과학,238,1131,269178
제,239,1126,269114
이나,240,1122,269280
사람,241,1118,269438
차량,242,1115,269830
ICT,243,1114,270702
모델,244,1113,271572
약,245,1110,271950
추진,246,1108,272568
데,247,1105,272935
변화,248,1100,272800
부회장,249,1076,267924
돼,250,1075,268750
솔루션,251,1066,267566
S,252,1056,266112
따라,253,1055,266915
점,254,1050,266700
텔레콤,255,1034,263670
다른,256,1034,264704
협력,257,1023,262911
홈,258,1023,263934
라며,259,1019,263921
관계자,260,1008,262080
금융,261,1007,262827
따르,262,1002,262524
OLED,263,998,262474
특히,264,997,263208
전시회,265,983,260495
방식,266,981,260946
혁명,267,980,261660
온라인,268,980,262640
VR,269,978,263082
주요,270,972,262440
운영,271,971,263141
최고,272,963,261936
QLED,273,955,260715
번,274,948,259752
분기,275,946,260150
구축,276,940,259440
환경,277,939,260103
보안,278,939,261042
수준,279,938,261702
개인,280,934,261520
확인,281,930,261330
경쟁,282,925,260850
마련,283,923,261209
국가,284,922,261848
개선,285,922,262770
추가,286,920,263120
화면,287,918,263466
디자인,288,910,262080
아이,289,910,262990
기대,290,897,260130
생산,291,897,261027
문제,292,895,261340
모두,293,890,260770
달러,294,889,261366
초,295,889,262255
하나,296,889,263144
그룹,297,888,263736
예상,298,881,262538
확보,299,878,262522
기준,300,877,263100
이후,301,875,263375
한다는,302,874,263948
이동,303,871,263913
모든,304,869,264176
사물,305,868,264740
큰,306,866,264996
클라우드,307,865,265555
결과,308,863,265804
대비,309,860,265740
매출,310,860,266600
별,311,858,266838
한다고,312,854,266448
디지털,313,852,266676
중심,314,850,266900
판매,315,846,266490
참여,316,839,265124
황,317,835,264695
트,318,829,263622
목표,319,826,263494
시대,320,825,264000
기관,321,825,264825
상황,322,825,265650
업무,323,823,265829
에너지,324,822,266328
노트,325,821,266825
구현,326,820,267320
전문,327,820,268140
창조,328,819,268632
카,329,819,269451
지역,330,818,269940
알,331,816,270096
사회,332,812,269584
상,333,804,267732
장,334,803,268202
정책,335,801,268335
배터리,336,799,268464
드,337,795,267915
첫,338,792,267696
해외,339,792,268488
앞,340,786,267240
평가,341,785,267685
새해,342,779,266418
기록,343,777,266511
후,344,777,267288
플러스,345,775,267375
국제,346,772,267112
카메라,347,771,267537
찾,348,770,267960
뿐,349,770,268730
위원회,350,767,268450
증가,351,764,268164
유,352,763,268576
부문,353,763,269339
폰,354,762,269748
지능,355,759,269445
시리즈,356,758,269848
한편,357,758,270606
대상,358,755,270290
핵심,359,754,270686
처럼,360,753,271080
크,361,751,271111
교수,362,750,271500
프리미엄,363,750,272250
엔,364,749,272636
도입,365,747,272655
최초,366,744,272304
영업,367,744,273048
지속,368,741,272688
추천,369,741,273429
거나,370,731,270470
으며,371,728,270088
소개,372,726,270072
연합뉴스,373,726,270798
티,374,723,270402
일본,375,723,271125
더욱,376,721,271096
포함,377,718,270686
가격,378,718,271404
조사,379,718,272122
배,380,716,272080
네이버,381,714,272034
천,382,710,271220
는데,383,707,270781
PC,384,701,269184
충전,385,701,269885
코리아,386,701,270586
열린,387,695,268965
정도,388,694,269272
성능,389,691,268799
