,Rank,Frequency,Rank X Frequency
있,1,11399,11399
통해,2,3793,7586
하,3,3281,9843
밝혔,4,2610,10440
받,5,2521,12605
위해,6,2263,13578
위한,7,1836,12852
대한,8,1765,14120
지난,9,1383,12447
만들,10,1302,13020
되,11,1122,12342
오,12,1093,13116
했,13,1079,14027
따라,14,1055,14770
따르,15,1002,15030
보,16,968,15488
될,17,901,15317
가,18,779,14022
된다,19,777,14763
찾,20,770,15400
할,21,729,15309
열린,22,695,15290
열리,23,678,15594
대해,24,666,15984
맞,25,641,16025
넘,26,623,16198
해,27,612,16524
됐,28,596,16688
보인다,29,582,16878
와,30,569,17070
알,31,557,17267
선보였,32,495,15840
들,33,485,16005
티,34,467,15878
한,35,460,16100
이,36,458,16488
통한,37,425,15725
볼,38,423,16074
열,39,423,16497
보이,40,413,16520
내놓,41,398,16318
잡,42,391,16422
선보이,43,378,16254
보여,44,374,16456
얻,45,373,16785
담,46,368,16928
따른,47,367,17249
맡,48,363,17424
선보인다,49,357,17493
높이,50,340,17000
위해서,51,329,16779
나오,52,329,17108
내,53,326,17278
덧붙였,54,324,17496
전했,55,321,17655
맞춰,56,304,17024
갖,57,301,17157
만든,58,299,17342
된,59,290,17110
선보일,60,286,17160
즐길,61,284,17324
한다,62,279,17298
만드,63,278,17514
쓰,64,277,17728
알려졌,65,277,18005
늘,66,271,17886
주,67,269,18023
나타났,68,265,18020
두,69,264,18216
끌,70,263,18410
앞서,71,257,18247
이끌,72,257,18504
이르,73,248,18104
관한,74,238,17612
줄,75,232,17400
보내,76,228,17328
거쳐,77,228,17556
비해,78,223,17394
나왔,79,212,16748
대해서,80,207,16560
갖춘,81,206,16686
돕,82,205,16810
삼,83,201,16683
겪,84,201,16884
나온다,85,199,16915
선보인,86,199,17114
가진,87,198,17226
남,88,197,17336
더불,89,193,17177
맺,90,191,17190
사,91,188,17108
나서,92,187,17204
알려,93,185,17205
앞둔,94,180,16920
온,95,178,16910
만나,96,177,16992
갖췄,97,176,17072
가지,98,176,17248
알림,99,174,17226
본,100,169,16900
살펴보,101,169,17069
읽,102,167,17034
돼,103,165,16995
나섰,104,161,16744
쏠,105,161,16905
나선다,106,160,16960
보였,107,160,17120
갖추,108,158,17064
앞두,109,157,17113
해야,110,157,17270
쓸,111,154,17094
전하,112,151,16912
인해,113,151,17063
밝힌,114,150,17100
살,115,148,17020
달하,116,147,17052
밝히,117,147,17199
바꾸,118,146,17228
나설,119,146,17374
벗어나,120,145,17400
줄이,121,145,17545
늘어나,122,145,17690
듣,123,143,17589
올리,124,141,17484
막,125,140,17500
찍,126,139,17514
누르,127,139,17653
늘리,128,139,17792
꼽,129,137,17673
놓,130,136,17680
넣,131,134,17554
해도,132,132,17424
들어가,133,131,17423
올,134,131,17554
켜,135,130,17550
이뤄,136,129,17544
뛰어넘,137,126,17262
알리,138,125,17250
타,139,125,17375
셀,140,125,17500
높였,141,124,17484
커,142,124,17608
불리,143,123,17589
웨,144,122,17568
높인,145,122,17690
나,146,121,17666
나타나,147,119,17493
내놨,148,119,17612
이루,149,119,17731
바꿀,150,118,17700
걸쳐,151,116,17516
즐기,152,114,17328
인한,153,114,17442
바꿔,154,114,17556
버,155,113,17515
움직이,156,112,17472
모아,157,111,17427
인정받,158,111,17538
달리,159,110,17490
이어지,160,108,17280
줄여,161,107,17227
낼,162,107,17334
기다립니다,163,106,17278
늘려,164,105,17220
갤,165,105,17325
줄어들,166,104,17264
보여준다,167,103,17201
나선,168,103,17304
붙,169,102,17238
느낄,170,101,17170
풀,171,100,17100
잃,172,100,17200
앞세워,173,100,17300
올린,174,99,17226
바뀌,175,98,17150
맞춘,176,98,17248
쌓,177,97,17169
나누,178,96,17088
나올,179,94,16826
바란다,180,94,16920
의해,181,91,16471
입,182,91,16562
몰,183,90,16470
미치,184,90,16560
치,185,90,16650
모으,186,90,16740
띄,187,90,16830
높여,188,88,16544
나아가,189,86,16254
걸,190,85,16150
달한다,191,85,16235
도와,192,85,16320
그러,193,84,16212
늘어난,194,84,16296
원하,195,84,16380
펼치,196,83,16268
서,197,82,16154
히,198,82,16236
떨어지,199,81,16119
커지,200,80,16000
오르,201,78,15678
내리,202,78,15756
늘어날,203,77,15631
생기,204,77,15708
모았,205,77,15785
높일,206,77,15862
이뤄질,207,77,15939
없애,208,77,16016
이기,209,77,16093
알려진,210,76,15960
들어갔,211,76,16036
키우,212,76,16112
쏟,213,76,16188
꼽힌다,214,75,16050
나온,215,75,16125
뛰어들,216,74,15984
세웠,217,74,16058
올렸,218,73,15914
내다봤,219,73,15987
드러냈,220,73,16060
꼽히,221,73,16133
알려준다,222,73,16206
이어질,223,72,16056
해서,224,72,16128
전해졌,225,72,16200
맞춤,226,71,16046
모르,227,71,16117
줄일,228,71,16188
느끼,229,71,16259
뽑,230,71,16330
선보여,231,69,15939
올랐,232,69,16008
믿,233,68,15844
모인,234,68,15912
트,235,67,15745
나타내,236,67,15812
줄였,237,67,15879
갈,238,67,15946
지키,239,66,15774
선,240,66,15840
내려,241,66,15906
맞추,242,65,15730
손잡,243,65,15795
냈,244,65,15860
밝혀,245,65,15925
벌이,246,64,15744
먹,247,64,15808
힘입,248,63,15624
잇따라,249,63,15687
둔,250,63,15750
뛰,251,62,15562
연,252,62,15624
일어나,253,60,15180
사라지,254,60,15240
울리,255,60,15300
나눠,256,59,15104
이어졌,257,59,15163
달할,258,59,15222
잇달,259,59,15281
뒀,260,59,15340
앉,261,59,15399
열린다,262,58,15196
묻,263,58,15254
떠오르,264,58,15312
가질,265,58,15370
늘어났,266,58,15428
누릴,267,58,15486
드,268,57,15276
지닌,269,57,15333
가져올,270,57,15390
진행할,271,57,15447
깎,272,57,15504
가졌,273,57,15561
통하,274,56,15344
거치,275,56,15400
들려주,276,56,15456
세우,277,56,15512
올려,278,55,15290
담긴,279,55,15345
그쳤,280,55,15400
앞장서,281,55,15455
통해서,282,55,15510
배우,283,55,15565
스,284,54,15336
달했,285,54,15390
노리,286,54,15444
는,287,53,15211
넘치,288,53,15264
선보인다고,289,53,15317
이끄,290,52,15080
꿈꾸,291,52,15132
짜,292,52,15184
의한,293,52,15236
그리,294,52,15288
곤,295,52,15340
마쳤,296,51,15096
쓰이,297,51,15147
지나,298,51,15198
실,299,51,15249
내세우,300,51,15300
옮겨,301,51,15351
다지,302,51,15402
강해,303,51,15453
가하,304,50,15200
넘어섰,305,50,15250
팔,306,50,15300
묶,307,50,15350
잠금,308,50,15400
꽂,309,50,15450
밝힐,310,49,15190
이뤄졌,311,49,15239
그린,312,49,15288
마치,313,48,15024
늘릴,314,48,15072
돌,315,48,15120
여,316,48,15168
준다,317,48,15216
뒤집,318,48,15264
변하,319,47,14993
모여,320,47,15040
알려져,321,47,15087
본다,322,47,15134
바라보,323,47,15181
출,324,47,15228
둘러보,325,47,15275
오른,326,46,14996
위해선,327,46,15042
깨,328,46,15088
거두,329,46,15134
내보내,330,46,15180
낸,331,46,15226
끝나,332,46,15272
놀,333,46,15318
나가,334,45,15030
이뤄진,335,45,15075
들어오,336,45,15120
넓히,337,45,15165
갖춰,338,45,15210
이뤘,339,45,15255
키워,340,44,14960
기다리,341,44,15004
걸리,342,44,15048
앞선,343,44,15092
