title,term,tf-idf
'한식의 세계화' 향해 불당겼다2,줌,12.4948305895581
'뽀득뽀득 조물조물' 흙 만져보세요1,흙,12.231796183724306
톱관련②SOCㆍ농림ㆍ복지1,톱,11.424441261666704
3톱관련-1,톱,11.424441261666704
4톱관련1,톱,11.424441261666704
가난이 낳고 무관심이 키운 病 ‘비만’1,목,11.116318966304371
뼈 붙이고 알아서 녹는다1,뼈,11.061871182281994
“남의 일 아닌 우리 일…1,남,9.934115635083621
"""떡, 4시간 안에 드세요""1",떡,9.79439087141701
내 아이가 먹을 수 있는 건강한 농산물 키운다1,밥,9.47690868156084
"""얘들아 밥먹자""1",밥,9.47690868156084
새로 나온 책1,책,9.459206679827378
새책1,책,9.459206679827378
안전한 바다 만들기 힘쓸 터1,터,9.459206679827378
"보성군, 친환경 인증 교육1",책,9.459206679827378
[책] 배불리 드셨습니까… 맛있게 드셨습니까1,책,9.459206679827378
<봄내가 자란다>1,봄,9.29319672838845
식재료 납품업체 점검 '매의 눈으로'2,인,9.075291698044317
인 사2,인,9.075291698044317
안전하다 말할 땐 언제고 이제 와서…1,땐,8.886021346882577
안전하다 말할 땐 언제고 이제 와서…2,땐,8.886021346882577
독자투고2,면,8.75066949398769
1면에 이어1,면,8.75066949398769
1면에 이어 다시1,면,8.75066949398769
닭은 40일이 아니라 20년을 살 수 있다1,닭,8.739943087394632
무엇보다 손님이 좋아하더라1,손,8.202048840330255
"“손 씻고 익혀 먹고 끓여 먹으세요” 
1",손,8.202048840330255
“손 이렇게 씻어요”1,손,8.202048840330255
“손 씻고 익혀 먹고 끓여 먹으세요”1,손,8.202048840330255
무엇보다 손님이 좋아하더라2,손,8.202048840330255
“아무리 춥더라도 손 잘 씻으세요”1,손,8.202048840330255
형보다 아우가 낫다1,아우,7.908379342222732
“우리 피클이 좋은 것이여~!”1,피클,7.908379342222732
"경산시, 동물 의약품 수의사 처방제 실시1",김용,7.908379342222732
코펠 맞추기 쉽지않네1,코펠,7.908379342222732
"""술잔 돌리지 말고… 천천히 마시자""1",술잔,7.908379342222732
넘버& ‘65’1,넘버,7.908379342222732
擧世皆濁(거세개탁)1,개탁,7.908379342222732
"""대문을 지켜라""1",대문,7.908379342222732
나건호1,건호,7.908379342222732
날로 먹으니 아프다1,날,7.454814910710222
괜찮겠지 먹었다간 봄나들이 탈난다1,난다,7.408379342222732
'갓뚜기'1,뚜기,7.408379342222732
적당한 음주량1,주량,7.408379342222732
늦어서 미안하다1,미안,7.408379342222732
'1월의 광주세관인'에 김영기 행정관1,땅,7.339602508258573
"""모두 수고하셨습니다""1",수고,7.115898091862153
‘무미일’을 아시나요?2,미일,7.115898091862153
‘무미일’을 아시나요?1,미일,7.115898091862153
"""'미끼'가 좋아야 물지""1",미끼,6.908379342222732
“내 금니는 진짜 金일까”1,금니,6.908379342222732
해풍건정1,해풍,6.74741529477905
부농을 꿈꾸는 사람들1,부농,6.615898091862153
"복어, 안전하게 먹으려면1",복어,6.615898091862153
4월의 들녘을 바라보며1,들녘,6.615898091862153
오늘 저녁으로 무엇을 먹을까1,저녁,6.615898091862153
"지방세(脂肪稅) 폐지한 덴마크, 그 이유가…1",담양,6.615898091862153
