,Topic,Words,Frequency,Timestamp
0,-1,"furchtenicht, widders, ojai, city, ruling",1,2007-12-26 21:15:50.400
1,16,"luscomb, box, jack, oklahoma, franchisee",1,2011-07-02 12:00:00.000
2,110,"coffee, starbucks, cellphone, acquisti, donahoe",1,2011-07-02 12:00:00.000
3,-1,"andresen, bitcoins, deflation, shah, bitcoin",4,2012-11-24 21:36:00.000
4,0,"bitcoins, bitcoin, rbi, authority, december",1,2012-11-24 21:36:00.000
5,4,"xchange, bitcoins, hong, puzzles, itecpro",2,2012-11-24 21:36:00.000
6,17,"wilson, dark, wallet, mr, ulbricht",1,2012-11-24 21:36:00.000
7,131,"nakamoto, bitcoins, winklevoss, spano, clark",2,2012-11-24 21:36:00.000
8,-1,"ver, kitts, gox, mt, st",17,2013-08-07 14:24:00.000
9,0,"katkin, fgcu, scholarship, atilus, casimir",3,2013-08-07 14:24:00.000
10,2,"transmitter, delegate, delegates, licenses, money",1,2013-08-07 14:24:00.000
11,17,"wilson, dark, wallet, blueprints, mr",1,2013-08-07 14:24:00.000
12,31,"donation, college, puget, gift, tacoma",1,2013-08-07 14:24:00.000
13,35,"lakota, mazacoin, oglala, nation, tribe",1,2013-08-07 14:24:00.000
14,60,"coinbase, armstrong, zeroes, expedia, wallets",1,2013-08-07 14:24:00.000
15,131,"nakamoto, satoshi, kleiman, p2p, daviescoates",1,2013-08-07 14:24:00.000
16,-1,"bansal, flipkart, goyal, india, myntra",54,2014-04-20 07:12:00.000
17,0,"k2, sultan, ranvier, citi, syracuse",4,2014-04-20 07:12:00.000
18,2,"banks, bank, credit, loans, h3",40,2014-04-20 07:12:00.000
19,4,"weese, china, bitcoins, block, bitcoin",1,2014-04-20 07:12:00.000
20,6,"music, artists, tennessean, nashville, labels",1,2014-04-20 07:12:00.000
21,13,"singapore, uob, wee, dbs, banks",2,2014-04-20 07:12:00.000
22,14,"ge, visa, financialservices, transportationfinance, wsj",1,2014-04-20 07:12:00.000
23,16,"adj, informal, food, dial, fatberg",1,2014-04-20 07:12:00.000
24,17,"paul, alexander, bill, candidate, party",1,2014-04-20 07:12:00.000
25,22,"jersey, shadab, new, coughlin, hearing",1,2014-04-20 07:12:00.000
26,24,"ripple, xrp, interledger, santander, larsen",1,2014-04-20 07:12:00.000
27,30,"marijuana, pot, cannabis, transmitters, fees",1,2014-04-20 07:12:00.000
28,44,"speedroute, overstock, t0, byrne, rttnewscom",2,2014-04-20 07:12:00.000
29,45,"dimon, jpmorgan, custody, heitsenrether, rumors",1,2014-04-20 07:12:00.000
30,60,"coinbase, halfordthompson, uk, westpac, ehrsam",3,2014-04-20 07:12:00.000
31,65,"counterparty, network, features, weinberg, settlement",5,2014-04-20 07:12:00.000
32,79,"women, h3, officer, masters, men",4,2014-04-20 07:12:00.000
33,124,"gray, rubix, microsoft, valiente, software",2,2014-04-20 07:12:00.000
34,139,"walmart, pay, repo, mcx, shipments",1,2014-04-20 07:12:00.000
35,143,"lawsky, regulators, cybersecurity, regulator, bitlicense",2,2014-04-20 07:12:00.000
36,154,"reilly, eversafe, gotsch, lab, socialalpha",1,2014-04-20 07:12:00.000
37,210,"curry, occ, neobanks, mulvaney, regulators",1,2014-04-20 07:12:00.000
38,213,"lawsky, bitlicense, york, nydfs, itbit",4,2014-04-20 07:12:00.000
39,-1,"banks, mr, technology, bitcoin, bank",141,2015-09-13 16:48:00.000
40,0,"dao, ethereum, computershare, bitcoin, snapcard",14,2015-09-13 16:48:00.000
41,2,"banks, h3, bank, banking, wells",127,2015-09-13 16:48:00.000
42,4,"circle, fof, china, fintech, renminbi",4,2015-09-13 16:48:00.000
43,8,"energy, australia, power, cuba, ireland",2,2015-09-13 16:48:00.000
44,10,"ltd, nestle, singtel, rs2016, maggi",1,2015-09-13 16:48:00.000
45,12,"koshy, ey, singularity, automation, exponential",1,2015-09-13 16:48:00.000
46,13,"jubilee, mesitis, singapore, uob, finlab",2,2015-09-13 16:48:00.000
47,14,"wsj, logistics, shipping, container, freight",3,2015-09-13 16:48:00.000
48,17,"law, licensing, burgess, resolution, uniform",6,2015-09-13 16:48:00.000
49,19,"blumenstein, zoldi, mclaughlin, cybersecurity, lt",2,2015-09-13 16:48:00.000
50,25,"schutte, harris, nauiokas, vcs, fintech",1,2015-09-13 16:48:00.000
51,30,"cannabis, marijuana, tokken, weiss, dispensaries",1,2015-09-13 16:48:00.000
52,31,"betterment, robo, sec, gemini, advisers",2,2015-09-13 16:48:00.000
53,37,"ransomware, cyber, attacks, ransom, security",2,2015-09-13 16:48:00.000
54,40,"morgans, brambles, cents, dividends, computershare",1,2015-09-13 16:48:00.000
55,41,"podell, startupbootcamp, pitch, alphapack, deck",2,2015-09-13 16:48:00.000
56,45,"jp, dimon, morgan, chase, jpmorgan",3,2015-09-13 16:48:00.000
57,46,"ratha, malta, worldremit, transfer, murphy",1,2015-09-13 16:48:00.000
58,51,"accenture, distributedledger, broadridge, practice, digital",1,2015-09-13 16:48:00.000
59,52,"jamienimmo63, bitcoins, ey, drugs, police",1,2015-09-13 16:48:00.000
60,54,"visa, mastercard, earnings, scharf, cents",2,2015-09-13 16:48:00.000
61,55,"voting, voters, mohen, voa, utah",2,2015-09-13 16:48:00.000
62,62,"asx, t2, bardwell, rayson, settlement",2,2015-09-13 16:48:00.000
63,71,"revolution, fourth, industrial, dollar, eurasia",2,2015-09-13 16:48:00.000
64,79,"women, h3, gender, banking, officer",10,2015-09-13 16:48:00.000
65,81,"blumenstein, bharara, folks, cfos, cyberthreat",1,2015-09-13 16:48:00.000
66,84,"buffett, sun, berkshire, icahn, lunch",1,2015-09-13 16:48:00.000
67,98,"trump, mercantilism, patches, globalization, capitalism",1,2015-09-13 16:48:00.000
68,107,"pro, wsj, transcript, says, bair",22,2015-09-13 16:48:00.000
69,108,"treatments, sharemarket, csl, disease, brain",1,2015-09-13 16:48:00.000
70,113,"dublin, irish, ireland, gael, independent",2,2015-09-13 16:48:00.000
71,124,"behlendorf, ledger, petrasic, regulators, information",2,2015-09-13 16:48:00.000
72,131,"winklevoss, kingston, trimantium, twins, tyler",1,2015-09-13 16:48:00.000
73,139,"walmart, food, retailers, stores, database",2,2015-09-13 16:48:00.000
74,143,"regulators, occ, lawsky, comptroller, fintech",12,2015-09-13 16:48:00.000
75,145,"chilton, beilfuss, bart, emoney, oped",1,2015-09-13 16:48:00.000
76,155,"settlement, carry, steenis, morgan, banks",4,2015-09-13 16:48:00.000
77,158,"eidel, cotton, cba, brighann, fargo",1,2015-09-13 16:48:00.000
78,173,"contracts, contract, obligations, tps, code",4,2015-09-13 16:48:00.000
79,176,"refugees, refugee, grants, ida, cff",1,2015-09-13 16:48:00.000
80,192,"millennials, personalization, loyalty, ccg, machine",1,2015-09-13 16:48:00.000
81,206,"lindberg, poposka, westpac, tang, apec",2,2015-09-13 16:48:00.000
82,209,"elliptic, paladin, enforcement, behaviour, dr",4,2015-09-13 16:48:00.000
83,210,"schweikert, occ, warner, charter, curry",2,2015-09-13 16:48:00.000
84,-1,"bitcoin, currency, technology, money, value",775,2016-05-26 09:36:00.000
85,0,"bitcoin, bitcoins, wallet, price, cryptocurrency",140,2016-05-26 09:36:00.000
86,1,"linket, reinecke, iot, patent, copolymer",6,2016-05-26 09:36:00.000
87,2,"banks, bank, h3, banking, credit",132,2016-05-26 09:36:00.000
88,3,"wwwwipointpatentscopesearchendetailjsf, inventors, intellectual, geneva, applicants",39,2016-05-26 09:36:00.000
89,4,"china, beijing, yuan, percent, development",54,2016-05-26 09:36:00.000
90,5,"galois, lesavich, kenosha, wis, retrieval",1,2016-05-26 09:36:00.000
91,6,"music, art, nfts, nft, vezt",7,2016-05-26 09:36:00.000
92,7,"dubai, uae, difc, al, abu",37,2016-05-26 09:36:00.000
93,8,"energy, electricity, power, mining, miners",30,2016-05-26 09:36:00.000
94,9,"srinivasan, facebook, onavo, libra, apps",3,2016-05-26 09:36:00.000
95,10,"india, ambani, modi, auxledger, cashaa",12,2016-05-26 09:36:00.000
96,11,"sanctions, north, korea, russia, iran",8,2016-05-26 09:36:00.000
97,12,"education, ict, kpmg, students, university",6,2016-05-26 09:36:00.000
98,13,"singapore, proptech, deals, asia, estate",19,2016-05-26 09:36:00.000
99,14,"wsj, logistics, shipping, container, freight",21,2016-05-26 09:36:00.000
100,15,"esports, toronto, insole, gamurs, bioconnect",3,2016-05-26 09:36:00.000
101,16,"food, ibm, walmart, fraud, maersk",7,2016-05-26 09:36:00.000
102,17,"giancarlo, cftc, swaps, rule, mr",6,2016-05-26 09:36:00.000
103,18,"hilton, icos, lydiancoin, insider, crypto",5,2016-05-26 09:36:00.000
104,19,"cybersecurity, security, cyber, quantum, bossert",14,2016-05-26 09:36:00.000
105,20,"nigeria, africa, percent, snapscan, nigerians",8,2016-05-26 09:36:00.000
106,21,"etf, etfs, portfolios, funds, blackrock",2,2016-05-26 09:36:00.000
107,22,"ossoff, israel, trump, greenblatt, israeli",1,2016-05-26 09:36:00.000
108,23,"moldafsky, room, wales, wikipedia, wikitribune",4,2016-05-26 09:36:00.000
109,24,"ripple, xrp, mupparaju, btcxindia, garlinghouse",4,2016-05-26 09:36:00.000
110,25,"wealth, aum, managers, management, pwc",11,2016-05-26 09:36:00.000
111,26,"ibm, gbs, granger, revenue, cloud",12,2016-05-26 09:36:00.000
112,27,"health, doctors, patients, medicine, healthcare",1,2016-05-26 09:36:00.000
113,28,"futures, cme, cboe, bitcoin, price",39,2016-05-26 09:36:00.000
114,29,"farmers, proudfoot, food, kpmg, agribusiness",6,2016-05-26 09:36:00.000
115,30,"cannabis, trumpcoin, marijuana, dopecoin, grenzebach",6,2016-05-26 09:36:00.000
