,Topic,Count,Name,Keywords
0,-1,11013,-1_iot_consensus_network_technology,iot consensus network technology security bitcoin paper transactions devices applications
1,0,1732,0_energy_power_trading_electricity,energy power trading electricity grid market prosumers demand carbon p2p
2,1,1613,1_health_healthcare_patients_patient,health healthcare patients patient care records ehr ehrs record access
3,2,1013,2_contracts_contract_code_solidity,contracts contract code solidity vulnerabilities smart ethereum execution language programs
4,3,850,3_using_detection_proceedings_learning,using detection proceedings learning topics papers conference classification image recognition
5,4,728,4_cloud_storage_file_ipfs,cloud storage file ipfs scheme encryption integrity search files access
6,5,667,5_food_traceability_agriculture_farmers,food traceability agriculture farmers supply safety products chain production product
7,6,512,6_supply_chain_chains_scm,supply chain chains scm logistics sc bt financing finance adoption
8,7,477,7_education_students_student_certificates,education students student certificates teaching universities university learning certificate learners
9,8,457,8_iot_devices_things_internet,iot devices things internet access security authentication control device issues
10,9,439,9_economy_business_transformation_innovation,economy business transformation innovation adoption technologies digitalization development technology value
11,10,369,10_identity_authentication_ssi_user,identity authentication ssi user identities biometrics credentials users idm management
12,11,346,11_cryptocurrency_cryptocurrencies_price_bitcoin,cryptocurrency cryptocurrencies price bitcoin currency volatility market prices investors currencies
13,12,328,12_voting_election_votes_voters,voting election votes voters vote voter elections ballot evoting system
14,13,326,13_covid19_pandemic_vaccine_contact,covid19 pandemic vaccine contact coronavirus virus spread vaccination disease outbreak
15,14,301,14_vehicles_vehicle_vanets_vanet,vehicles vehicle vanets vanet traffic road hoc ad messages car
16,15,295,15_bitcoin_anonymity_monero_cryptocurrencies,bitcoin anonymity monero cryptocurrencies cryptocurrency currency transactions addresses technology zcash
17,16,244,16_consensus_pbft_algorithm_byzantine,consensus pbft algorithm byzantine nodes tolerance fault node raft protocol
18,17,228,17_evidence_law_privacy_protection,evidence law privacy protection courts gdpr court crime enforcement justice
19,18,198,18_fl_learning_training_machine,fl learning training machine federated ml models model datasets privacy
20,19,182,19_evs_ev_charging_battery,evs ev charging battery vehicles v2g vehicle stations energy grid
21,20,181,20_manufacturing_production_industry_product,manufacturing production industry product i40 factories revolution mass twin machines
22,21,175,21_uav_uavs_drones_drone,uav uavs drones drone iod uas delivery vehicles ground communication
23,22,171,22_copolymer_copolymers_poly_polymerization,copolymer copolymers poly polymerization diblock block micelles length crystallization chains
24,23,165,23_accounting_audit_auditors_accountants,accounting audit auditors accountants profession auditing reporting business bt technology
25,24,155,24_dlt_ledger_dlts_ledgers,dlt ledger dlts ledgers distributed baas applications dls characteristics interledger
26,25,152,25_bitcoin_addresses_address_graph,bitcoin addresses address graph transaction transactions accounts cryptocurrency ethereum entities
27,26,149,26_payment_channel_channels_ln,payment channel channels ln lightning payments pcns pcn scalability fees
28,27,141,27_fabric_hyperledger_performance_chaincode,fabric hyperledger performance chaincode endorsement peers hlf throughput transaction latency
29,28,127,28_city_cities_citizens_smart,city cities citizens smart urbanization life technologies transportation quality services
30,29,125,29_pki_certificate_certificates_cas,pki certificate certificates cas ca revocation pkis key tls public
31,30,124,30_risk_risks_cybersecurity_threat,risk risks cybersecurity threat cyber cti intelligence threats assessment security
32,31,119,31_miners_pool_pools_mining,miners pool pools mining miner reward pow attack proofofwork bwh
33,32,119,32_construction_bim_project_industry,construction bim project industry building inspection projects management pfe engineering
34,33,114,33_ico_icos_coin_offerings,ico icos coin offerings investors offering funding initial ventures venture
35,34,112,34_ai_intelligence_bangladesh_explainability,ai intelligence bangladesh explainability learning technologies artificial ethics humans dlt
36,35,107,35_p2p_topology_peers_peertopeer,p2p topology peers peertopeer peer nodes network propagation ethereum bitcoin
37,36,101,36_iov_vehicles_vehicle_internet,iov vehicles vehicle internet iovs transportation communication rsu authentication siov
38,37,98,37_processes_bpm_business_process,processes bpm business process execution bpmn choreography choreographies monitoring collaboration
39,38,98,38_software_engineering_modeling_process,software engineering modeling process enterprise models event business proceedings topics
40,39,95,39_fintech_banking_banks_sector,fintech banking banks sector bank finance innovations markets lending services
41,40,94,40_edge_computing_servers_devices,edge computing servers devices resource bmec resources cloud cache migration
42,41,94,41_iota_tangle_iot_ledger,iota tangle iot ledger retangle devices things dlt transactions dlts
43,42,92,42_fog_computing_cloud_latency,fog computing cloud latency edge nodes fc devices paradigm resource
44,43,91,43_trust_mas_agents_trustworthiness,trust mas agents trustworthiness eo interactions continuance agent platform iot
45,44,91,44_land_registry_registration_property,land registry registration property ownership records record lands administration ghana
46,45,90,45_sensor_wsn_wsns_wireless,sensor wsn wsns wireless routing nodes node ch networks bs
47,46,89,46_shards_sharding_shard_scalability,shards sharding shard scalability nodes throughput transaction transactions fns lcs
48,47,87,47_insurance_claims_insurers_ubi,insurance claims insurers ubi insurtech claim companies fraud auto sector
49,48,87,48_copyright_content_rights_protection,copyright content rights protection drm infringement ip copyrights creators multimedia
50,49,86,49_news_media_fake_propagation,news media fake propagation journalism spread opinion disinformation content misinformation
51,50,86,50_iiot_industrial_things_internet,iiot industrial things internet devices factory architecture security manufacturing industry
52,51,85,51_robots_swarm_robot_coalition,robots swarm robot coalition agents robotics agent tasks multirobot task
53,52,83,52_drug_drugs_medicines_counterfeit,drug drugs medicines counterfeit supply medicine chain manufacturer pharmacies traceability
55,53,83,53_access_control_rbac_abac,access control rbac abac permission authorization policies delegation policy roles
54,54,83,54_credit_payment_card_creditinvestigation,credit payment card creditinvestigation banking payments bank cashless banks loan
56,55,82,55_gdpr_general_compliance_regulation,gdpr general compliance regulation protection consent european eu union privacy
57,56,77,56_governance_platforms_community_mechanisms,governance platforms community mechanisms rights platform stakeholders dlt communities decisions
58,57,73,57_quantum_signature_lattice_computers,quantum signature lattice computers cryptography signatures scheme walk entanglement lrs
59,58,68,58_tourism_hospitality_tourist_industry,tourism hospitality tourist industry hotel tourists destination destinations accommodation marketing
60,59,65,59_encryption_cipher_cryptography_signatures,encryption cipher cryptography signatures key conference lwe cryptanalysis prf ciphers
61,60,64,60_image_images_watermark_watermarking,image images watermark watermarking iss shadows photos photo copyright transform
62,61,64,61_sdn_controller_plane_controllers,sdn controller plane controllers networking switches network flow control packet
63,62,63,62_maritime_shipping_port_container,maritime shipping port container ports industry freight carriers transport shippers
64,63,63,63_signature_signatures_multisignature_adaptor,signature signatures multisignature adaptor signer ring scheme signing schemes group
67,65,62,65_crowdsourcing_workers_task_requesters,crowdsourcing workers task requesters crowd tasks monetization worker platform discovery
65,66,62,66_waste_plastic_ewaste_recycling,waste plastic ewaste recycling disposal management plastics bins debris swm
66,64,62,64_trading_stock_settlement_exchange,trading stock settlement exchange trade brokers market fees broker cfmms
68,67,61,67_video_surveillance_cameras_videos,video surveillance cameras videos cctv camera transcoding frame vss frames
69,68,60,68_game_games_gaming_players,game games gaming players player multiplayer cryptokitties poker theory items
70,69,59,69_logistics_transportation_shipping_coordinations,logistics transportation shipping coordinations freight technologies transport intelligence integration satisfaction
71,70,58,70_spectrum_radio_sensing_sas,spectrum radio sensing sas sus cbrs crn su band auction
72,71,58,71_crosschain_sidechains_sidechain_interoperability,crosschain sidechains sidechain interoperability ledger ledgers protocol sepow fledger tulip
73,72,56,72_log_logs_audit_cloud,log logs audit cloud evidence logging forensics files integrity blockaudit
74,73,55,73_water_irrigation_wastewater_quality,water irrigation wastewater quality watering sws drought pollution monitoring river
75,74,52,74_query_database_queries_databases,query database queries databases graph rocksdb index structure bigchaindb processing
76,75,51,75_scalability_bitcoin_size_coinprune,scalability bitcoin size coinprune snapshots throughput blocks scaling transaction transactions
77,76,50,76_railway_mobility_transportation_maas,railway mobility transportation maas transport passenger rail travel transit taxi
79,77,48,77_ml_machine_learning_iot,ml machine learning iot knn devices algorithms svm dl privacy
78,78,48,78_intrusion_ids_cids_detection,intrusion ids cids detection cidns idss attacks insider intrusions cidn
80,79,47,79_estate_housing_property_proptech,estate housing property proptech wills market ownership fibree real netherlands
81,80,47,80_auction_bidding_bidders_auctions,auction bidding bidders auctions bid eauction bidder bids buyers sellers
82,81,46,81_mec_edge_computing_allocation,mec edge computing allocation servers offloading computation mobile task resource
83,82,46,82_proofs_zeroknowledge_proof_commitments,proofs zeroknowledge proof commitments zk bulletproofs commitment nizk crs zksnark
84,83,46,83_marketplace_retailer_marketplaces_supplier,marketplace retailer marketplaces supplier products product seller sellers consumers cod
85,84,45,84_provenance_cloud_hpc_lake,provenance cloud hpc lake metadata sciblock blocktrail hyperprov lod esp
86,85,43,85_home_shs_appliances_homes,home shs appliances homes hsp door devices homeowner access sensors
87,86,43,86_dns_name_domain_resolution,dns name domain resolution bdns root names blockzone dnssec cache
88,87,43,87_mcs_crowdsensing_reputation_incentive,mcs crowdsensing reputation incentive sensing participants crowd quality reward tasks
89,88,41,88_ddos_mitigation_attack_mud,ddos mitigation attack mud attacks defense bloss denialofservice denial ips
90,89,41,89_aviation_atm_adsb_flight,aviation atm adsb flight aircraft airline air aerospace swim maintenance
91,90,40,90_counterfeit_ics_ic_counterfeiting,counterfeit ics ic counterfeiting parts product supply chips goods electronics
94,92,39,92_governance_splits_bitcoin_dao,governance splits bitcoin dao actors altcoins practices infrastructures communities daos
92,93,39,93_bft_byzantine_protocols_hotstuff,bft byzantine protocols hotstuff fault replicas smr tolerant synchrony beat
93,91,39,91_marsal_network_networks_mnos,marsal network networks mnos slicing operators access wireless radio sdn
95,94,38,94_documents_document_certificates_verification,documents document certificates verification breeder html certificate diploma birth authenticity
96,95,36,95_parallel_clustering_kmeans_heterogeneous,parallel clustering kmeans heterogeneous approximation algorithm spark proceedings conference hpc
97,96,35,96_satellite_satellites_leo_space,satellite satellites leo space constellations spacecraft ground authentication sgin communication
98,97,34,97_nfv_slice_vnf_virtualization,nfv slice vnf virtualization vnfs slicing network operators functions slices
99,98,34,98_ndn_content_icn_cdn,ndn content icn cdn caching cache ccn networking routers name
100,99,34,99_extraction_recommendation_news_query,extraction recommendation news query text embedding word search web proceedings
101,100,33,100_hash_accelerator_fpga_sha3,hash accelerator fpga sha3 sha256 hardware gcd function sha2 scrypt
105,101,31,101_cbdc_bank_currency_central,cbdc bank currency central cbdcs banks money currencies lfc countries
104,102,31,102_donation_donations_charity_donors,donation donations charity donors donor charities funds ngos recipients organizations
103,103,31,103_location_trajectory_user_privacy,location trajectory user privacy users lbs locations lbss kanonymity protection
102,104,31,104_parking_drivers_lots_slot,parking drivers lots slot lot spots spaces valet spot service
106,105,29,105_ecommerce_commerce_c2c_product,ecommerce commerce c2c product o2o products licence goods consumer seller
107,106,29,106_music_copyright_artists_song,music copyright artists song composition artist bce propagation royalties files
108,107,29,107_corruption_procurement_anticorruption_transparency,corruption procurement anticorruption transparency government kazakhstan brazil transpr frauds nigeria
109,108,28,108_social_osns_bots_steem,social osns bots steem bosms steemit media users dosns online
110,109,28,109_patent_patents_invention_china,patent patents invention china alignment usa section claim office innovation
111,110,27,110_tax_taxation_vat_taxpayers,tax taxation vat taxpayers taxing administrations resolution administration gst tisn
112,111,26,111_cps_cpss_cyber_cpsos,cps cpss cyber cpsos systems preservation hashmacdsdv cpts subscribers interdependent
113,112,26,112_manet_manets_hoc_ad,manet manets hoc ad routing b4sdc nodes node route blockgraph
119,113,25,113_reviewers_peer_publication_journals,reviewers peer publication journals submission manuscript review pubchain reviewer publishing
118,114,25,114_hr_hrm_employee_employees,hr hrm employee employees employment recruitment labor resource talent organization
117,115,25,115_malware_android_detection_file,malware android detection file antivirus bigbing signatures exploit virology logitboost
116,116,25,116_identity_idm_iam_dids,identity idm iam dids management dim iot id identities devices
115,117,25,117_disaster_emergency_relief_disasters,disaster emergency relief disasters rescue response responders help emergencies agencies
114,118,25,118_bc_bcs_bifrst_bcdn,bc bcs bifrst bcdn scs exceptions plebeus oms lso bcp
120,119,24,119_recommendation_movie_rss_recommender,recommendation movie rss recommender reviews recommendations rating users ratings movies
121,120,24,120_language_automata_formal_programming,language automata formal programming checking verification programs languages adps architectures
122,121,24,121_archives_records_archive_archival,archives records archive archival preservation heritage archiving web recordkeeping authenticity
123,122,23,122_reputation_rating_ratings_raters,reputation rating ratings raters feedback watchtowers fraud rbks mana emana
124,123,23,123_space_astrax_besta_earth,space astrax besta earth mars ssa moon stm sda lunar
