,max,location
polymer,0.1890478778137541,47
decrease,0.18492555797994295,47
approach,0.18476053363501213,47
reports,0.1846505209257374,69
materials,0.18353271920902398,47
entropy,0.18285003889589255,47
demand,0.18284516858247277,47
behavior,0.18261451404854587,17
length,0.1824037924092845,47
information,0.1800287360056793,69
article,0.1776854827504575,17
mechanism,0.1775851825454556,17
exhibit,0.17612100259412897,17
crystals,0.17612100259412897,17
evidence,0.1756809933217386,47
building,0.17419365783566748,47
methyl,0.17311771184075145,17
properties,0.1727473937089367,47
memory,0.17031205555998463,17
segments,0.16864593403236025,39
case,0.1670898334955604,47
state,0.16601547181914722,27
behaviour,0.1653003183937377,27
authors,0.1651874907203501,39
random,0.1651874907203501,39
gas,0.1651874907203501,39
feed,0.16495873821543733,39
rules,0.16481082654628454,39
activity,0.16477704480600158,39
catalyst,0.1647148869434351,39
majority,0.16459439879770124,39
donor,0.16459439879770124,39
volumes,0.1644369682834589,27
transition,0.16405536457461198,17
cross,0.16349570674503663,27
volume,0.16310358619800763,27
theory,0.16305842701741777,27
calculations,0.16305842701741777,27
contributions,0.16305842701741777,27
transfer,0.16291146151931718,17
equation,0.1626156019479261,27
localization,0.1612132193396932,29
wiley,0.16057877766218528,17
whereas,0.16030581979909944,39
polymerization,0.16017708793864732,17
parameters,0.15849064111955913,27
temperature,0.15830917482843776,17
operation,0.15802726780061385,75
ieee,0.15775128446090553,29
probability,0.15748245632123709,29
technique,0.15686076533065618,29
features,0.15686076533065618,29
techniques,0.15666262595183525,29
locations,0.15666262595183525,29
proposal,0.1563937977927232,29
reduction,0.1563937977927232,29
executions,0.1563937977927232,29
set,0.1563937977927232,29
coefficient,0.1563937977927232,29
programs,0.1563937977927232,29
program,0.1563937977927232,29
feature,0.1563937977927232,29
faults,0.1563937977927232,29
fault,0.1563937977927232,29
failures,0.1563937977927232,29
similarities,0.1563937977927232,29
similarity,0.1563937977927232,29
noise,0.1563937977927232,29
aim,0.15537726755159967,29
models,0.15389631474975252,27
feedback,0.15346709518089857,155
aggregate,0.15339351026592946,155
fear,0.1533564016509785,155
prerequisite,0.15333121416058393,155
defenses,0.1533249482919317,155
use,0.1529875742713691,29
insights,0.15231186757514092,155
manner,0.15226144255383461,155
group,0.15223143614371756,14
emphasis,0.15190647873128096,155
results,0.1512993732524169,47
core,0.1510396135673562,14
reputation,0.15080956764635778,155
score,0.1505304539192972,155
area,0.15024626689439205,14
example,0.15014629308908,155
content,0.14997502822200776,39
units,0.14997472305850268,67
particle,0.14898406588577814,14
access,0.14839926367536335,58
devices,0.14839695372207876,58
diblock,0.1479084753316392,27
surface,0.14775919770906956,14
exchange,0.14775919770906956,14
fact,0.14775919770906956,14
picture,0.14775919770906956,14
segment,0.14775919770906956,14
data,0.14746783633243346,27
consumption,0.1474335873794967,58
leakage,0.14742403695545322,58
lightweight,0.14742403695545322,58
bloom,0.14742403695545322,58
eg,0.14742403695545322,58
implementations,0.14742403695545322,58
reliance,0.14742403695545322,58
payment,0.14742403695545322,58
countermeasure,0.14742403695545322,58
smartphones,0.14742403695545322,58
filters,0.14742403695545322,58
filter,0.14742403695545322,58
risks,0.14742403695545322,58
adversary,0.14742403695545322,58
findings,0.14705644040023974,58
structure,0.14695287644145194,39
client,0.14689529483877314,58
implications,0.1468472330352458,33
relief,0.1468472330352458,33
elements,0.14652394649214903,28
resource,0.14650001096088203,58
wallet,0.14649046314460532,58
verification,0.14649046314460532,58
nodes,0.14649046314460532,58
levels,0.14608693670860545,28
neighbors,0.14608693670860545,28
traffic,0.14608693670860545,28
drivers,0.14608693670860545,28
forces,0.14608693670860545,28
car,0.14608693670860545,28
driving,0.14608693670860545,28
attitudes,0.14608693670860545,28
highway,0.14608693670860545,28
friction,0.14608693670860545,28
differences,0.14608693670860545,28
characteristic,0.14608693670860545,28
cars,0.14608693670860545,28
disorder,0.14608693670860545,28
measure,0.14608693670860545,28
transitions,0.1456392591329086,67
arises,0.1456220101264507,67
adoption,0.14555740987032773,58
cs,0.14539665259673665,67
competition,0.14539665259673665,67
potential,0.14529558213782445,155
interactions,0.14527384087119946,27
observation,0.14526907970809352,67
process,0.14457557521413517,44
segregation,0.14449966984311857,33
order,0.14430584957197248,155
number,0.14360578398636253,58
frameworks,0.1435006285917371,155
result,0.1434688804668277,14
systems,0.14341319916191492,47
means,0.14276359060949645,14
