,max,location
existence,0.1858210013513861,16
integrity,0.1858210013513861,16
certification,0.1858210013513861,16
ownership,0.1858210013513861,16
proofs,0.1858210013513861,16
structure,0.1858210013513861,16
file,0.1858210013513861,16
identifiers,0.1858210013513861,16
hashes,0.1858210013513861,16
protocol,0.18566964806802505,13
state,0.1833423620242328,13
database,0.1833423620242328,13
inputs,0.18212420883742408,13
rules,0.18212420883742408,13
capabilities,0.18212420883742408,13
technology,0.18212420883742408,13
preferences,0.18212420883742408,13
plurality,0.18118290619031535,16
disclosure,0.18096697912877804,16
hash,0.18096697912877804,16
communication,0.17841166796611674,16
units,0.17841166796611674,16
block,0.17841166796611674,16
unit,0.17207117556519477,16
blockchain,0.1690452500430437,13
identity,0.16661861989818977,11
fraud,0.16661861989818977,11
identities,0.16661861989818977,11
score,0.16661861989818977,11
consumers,0.16661861989818977,11
business,0.16661861989818977,11
assessment,0.16661861989818977,11
tools,0.16661861989818977,11
connections,0.16661861989818977,11
entities,0.16661861989818977,11
risk,0.16661861989818977,11
techniques,0.16661861989818977,11
organizations,0.16661861989818977,11
authenticity,0.16661861989818977,11
invention,0.16607132468763108,13
methods,0.1627161527299198,17
chain,0.16088861109470037,13
structures,0.1580041302808186,16
way,0.15407378190821736,17
verification,0.1534233200098142,16
ones,0.15204358575295968,16
sources,0.15191319757026261,11
response,0.14959861576814681,25
share,0.14542904907805923,24
input,0.135051991893285,25
approach,0.1344377006618083,25
user,0.12995419353963927,13
browser,0.12817237667865553,25
api,0.12817237667865553,25
set,0.12781396580369714,13
interest,0.12681672277553102,17
object,0.12681672277553102,17
ability,0.1258007161386636,17
verifier,0.1258007161386636,17
anchor,0.1258007161386636,17
trust,0.12542322232277797,17
environments,0.12351386061875556,19
embodiments,0.12347433656074719,11
analysis,0.12284154015972738,11
root,0.12252720209988963,17
receiving,0.12224131970394296,25
site,0.12017011102940317,25
supply,0.11940679214054314,15
records,0.11940679214054314,15
representation,0.11940679214054314,15
quantities,0.11874232133980585,24
shares,0.11874232133980585,24
accounts,0.11874232133980585,24
asset,0.11874232133980585,24
participant,0.11874232133980585,24
association,0.11874232133980585,24
price,0.11873746497592509,24
quantity,0.11785545359992813,24
destination,0.11777362744651479,24
service,0.11763039945447007,17
application,0.1171675185562774,25
item,0.11672917723423194,15
record,0.11672917723423194,15
data,0.1155696895192136,13
members,0.11445378239523907,14
relationships,0.11445378239523907,14
anonymity,0.11445378239523907,14
validation,0.11445378239523907,14
group,0.11445378239523907,14
providers,0.11445378239523907,14
concept,0.11445378239523907,14
requirements,0.11445378239523907,14
assistance,0.11445378239523907,14
ledgers,0.11445378239523907,14
protocols,0.11445378239523907,14
community,0.11445378239523907,14
creation,0.11445378239523907,14
updates,0.11445378239523907,14
chains,0.11445378239523907,14
accurate,0.11445378239523907,14
mechanism,0.11445378239523907,14
claims,0.11445378239523907,14
form,0.11445378239523907,14
services,0.11445378239523907,14
policy,0.11445378239523907,14
protection,0.11445378239523907,14
attributes,0.11445378239523907,14
exchange,0.11296979255458701,24
network,0.1125977840647997,11
computers,0.1107956746015516,24
fields,0.11031633383323292,12
