topic number,perplexity,coherence,metric
2,7251.667757,0.571199524,c_v
4,6597.686484,0.595697138,c_v
6,6595.923235,0.606320604,c_v
8,6574.359033,0.614969133,c_v
10,6434.676242,0.65036712,c_v
12,6364.373356,0.653937141,c_v
14,6140.737062,0.647372143,c_v
16,6065.218789,0.65070324,c_v
18,5979.620641,0.666546154,c_v
20,5884.45881,0.649220202,c_v
22,5749.073059,0.653554177,c_v
24,5625.872429,0.665729351,c_v
26,5607.271345,0.673505462,c_v
28,5593.821025,0.697179915,c_v
30,5439.498447,0.671684577,c_v
32,5405.684554,0.694114625,c_v
34,5317.494425,0.713846486,c_v
36,5314.370805,0.709608004,c_v
38,5215.87989,0.699752231,c_v
40,5213.960203,0.691952522,c_v
42,5130.710122,0.715324857,c_v
44,5071.705983,0.689147672,c_v
46,5046.794043,0.68185073,c_v
48,5023.589574,0.705181105,c_v
50,4913.172295,0.683489736,c_v
52,4936.16717,0.717887298,c_v
54,4886.650681,0.69883373,c_v
56,4844.233349,0.720131832,c_v
58,4856.340131,0.70011476,c_v
60,4815.878811,0.706749398,c_v
62,4790.567845,0.727642839,c_v
64,4786.622593,0.697332384,c_v
66,4697.862992,0.714689019,c_v
68,4713.190496,0.733549954,c_v
70,4656.14155,0.711126214,c_v
72,4615.659967,0.714654866,c_v
74,4603.477142,0.730377268,c_v
76,4596.731991,0.722762291,c_v
78,4567.730723,0.729235921,c_v
80,4563.542211,0.730433935,c_v
82,4564.732699,0.722077334,c_v
84,4519.653957,0.691363224,c_v
86,4517.469748,0.71781871,c_v
88,4460.827318,0.731785561,c_v
90,4552.78742,0.699059555,c_v
92,4442.083038,0.713685941,c_v
94,4391.345856,0.734799374,c_v
96,4433.695478,0.722751265,c_v
98,4375.690583,0.721646973,c_v
100,4407.281794,0.715619347,c_v
