topic number,perplexity,coherence,metric
2,2953.080270126447,0.44816385209560394,c_v
4,2800.05625928457,0.7490621998906135,c_v
6,2815.038058112519,0.7340020954608918,c_v
8,2731.6841715142455,0.7552912589162588,c_v
10,2674.1407106699035,0.7751009637117386,c_v
12,2709.023211812661,0.752325688302517,c_v
14,2623.6980031657945,0.7655236470912185,c_v
16,2629.1384996016795,0.7492078471928835,c_v
18,2624.564973027888,0.7387701089933723,c_v
20,2586.7495222355174,0.7581645020842552,c_v
22,2539.9314595069955,0.744672290980816,c_v
24,2546.652904743712,0.7694783721119164,c_v
26,2522.027931307768,0.7571462432925518,c_v
28,2530.500205292092,0.7417835113725492,c_v
30,2455.385051351216,0.734597097064058,c_v
32,2468.1157468320844,0.7498870436567813,c_v
34,2435.209790665362,0.7420466195572827,c_v
36,2435.568947189578,0.7433734129907354,c_v
38,2450.902161746457,0.7337935664151845,c_v
40,2458.6441493056227,0.7269509743899107,c_v
42,2400.484445848285,0.7211832412651608,c_v
44,2365.806000799263,0.7214679741893304,c_v
46,2382.308439899803,0.7261731841317984,c_v
48,2341.375254763813,0.7153221684197585,c_v
50,2365.783703571546,0.728879822675139,c_v
52,2362.639976920068,0.7108976117406901,c_v
54,2381.877685398186,0.714237422330512,c_v
56,2346.401716993475,0.7017203744766967,c_v
58,2328.243870998604,0.6947377098017726,c_v
60,2350.8905381686004,0.7050834249705075,c_v
62,2335.7606992881597,0.6971500917307791,c_v
64,2316.994666522752,0.7135994345648213,c_v
66,2323.5263855543676,0.6880398650738325,c_v
68,2304.245495249264,0.7014663867323715,c_v
70,2297.75798475922,0.7000701927712982,c_v
72,2294.9706919296113,0.6968076400872731,c_v
74,2313.068858162293,0.707271628086833,c_v
76,2325.894835464052,0.6992393953039457,c_v
78,2299.4141631028124,0.6845078110694888,c_v
80,2304.1500038126283,0.6883403420541434,c_v
82,2295.706661807429,0.6874664117741147,c_v
84,2291.8293459759075,0.693878842872523,c_v
86,2274.138533050311,0.6804082655716083,c_v
88,2270.3876493378234,0.6893802995200858,c_v
90,2270.854840183101,0.6956726299474636,c_v
92,2280.8856460846673,0.6969285113210589,c_v
94,2285.446172546934,0.69382915943861,c_v
96,2288.1059773642687,0.6885454898544895,c_v
98,2262.2589843589303,0.6838049816005691,c_v
100,2269.080297434924,0.697632804095745,c_v
