,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
iot papers topics,0.6378485,1.8321869,1.2040914,-0.082736254,2.4387586,0.39473176,1.995226,0.4763626,1.0328683,0.4100225,1.1076714,0.75193036,0.63684833,1.0913929,1.0398768
access control health records,1.8149388,0.38511348,1.1176507,1.7976291,1.7796957,1.3486941,0.16940284,0.8718884,0.45481277,1.8763916,1.558645,1.3852415,1.4497671,1.508318,1.6671991
Originalityvalue Purpose,0.45476073,0.34357065,-0.45710552,-0.31817424,-0.9032122,-0.6531342,0.8907127,-1.3228947,1.2065957,1.2817153,1.1528962,1.1062965,0.9333034,1.0314713,1.0434456
investors coins tokens,0.7175013,1.0916721,2.499095,1.9496894,2.0208428,1.4535471,0.7910167,0.79736173,1.0287567,1.9469209,1.3166381,1.0531975,0.85581434,0.8505329,0.69041073
Solidity execution,0.109995365,-0.8401432,2.243097,1.07829,-0.55267715,1.5075095,0.20538712,-0.081140995,1.1941488,0.69837666,0.5616276,0.8205848,0.22540355,0.424798,-0.11201167
supply food,1.0844707,1.5431061,2.1312258,-0.3424754,-0.5580194,1.5467235,1.7768488,1.9464414,1.0456114,1.3338614,0.25418162,0.6724832,1.0342045,1.343976,1.6571285
electricity market electricity,1.9130275,1.689684,1.0333596,-1.5752773,0.043243885,2.5548906,1.1054062,0.8251406,0.45707464,0.9190856,0.24639225,0.8387011,0.7872776,0.5357995,0.22226572
edge devices,0.5417193,1.244327,1.5034304,-0.6825644,0.40075052,1.5371661,0.22228014,0.5106789,-0.0434469,1.5325763,1.6839,1.423177,1.6481603,1.5099585,1.9361116
PoW consensus protocol,-0.4046452,0.33058846,1.3152325,0.27148116,0.8533906,0.5389794,-0.23946357,2.1196625,0.31315815,0.9582492,0.82207954,1.1964722,0.8358208,0.6447252,1.2443116
Using Using Deep,1.0283952,1.7505026,2.0698366,2.1219158,0.8536694,2.5167546,0.5066316,0.6583791,0.6318209,0.16908026,0.117111444,-0.04780817,-0.429888,0.019100428,0.085965395
