Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0.0,0.5861,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",salt encryption embodiment wherein stores plaintext copy phase invention operation
1,2.0,0.4272,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",device video connection storage location session network chat transmitting implementation
2,4.0,0.3052,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",receipt customer interface random bill photo processor instructions phone code
3,4.0,0.7402,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",addresses groupings entity grouping transactions groups levels ledger confidence Addresses
4,3.0,0.4705,"image, object, input, target, feature, code, identification, result, parameter, images",object glasses signature processor result receiving camera media signatures attempt
5,1.0,0.3555,"content, file, document, media, hash, ID, ledger, metadata, software, container",key passcode content device request access indication response computer rights
6,7.0,0.335,"location, display, fingerprint, tag, package, area, radio, delivery, objects, frame",transactions sensor location objects sets database wherein interests proximity server
7,10.0,0.6576,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",parties transactions keys payload ledger transaction Presentation platform key storage
8,11.0,0.3495,"storage, computer, blocks, hash, apparatus, media, programs, values, ledger, requests",key fragments security storage devices computer ones program processor access
9,4.0,0.8986,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",vault Bitcoin bitcoin email exchange addresses allows address computer transfer
10,3.0,0.339,"image, object, input, target, feature, code, identification, result, parameter, images",code source address record item key SKU consensus goods quantity
11,8.0,0.515,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",computation heat workload devices assignment event command signal energy signals
12,0.0,0.3291,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",server client function N template exponentiation root modulo portion codes
13,10.0,0.3732,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",tag machine sale distribution activity program comprise donation computer duration
14,10.0,0.9563,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",robots synchronization tasks resources primitives establishment allocation times wait semaphores
15,10.0,0.9042,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",network entities theft risk strategies Tools authenticity connections sources identities
16,10.0,0.4869,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",tag machine sale distribution activity program comprise donation computer duration
17,10.0,0.7143,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",transactions Galois cryptocurrency blocks Fields P2P security storage Field peertopeer
18,10.0,0.5722,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",invention protocol database capabilities branches fork forks rules inputs preferences
19,10.0,0.7777,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",identities identity entities management ledger members chains objects validation community
20,6.0,0.4519,"entity, record, event, database, profile, item, records, ledger, response, trust",record computer item SKU devices address quantity stock supply ledger
21,4.0,0.4998,"account, asset, payment, amount, exchange, transfer, assets, address, customer, currency",stock SKU item Embodiments ie representation invention stages production supply
22,0.0,0.5884,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",nonce string device response communication subscriber channel server secure home
23,0.0,0.7305,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",identity representation identifier measurements signature plurality embodiments proof ledger implements
24,6.0,0.7868,"entity, record, event, database, profile, item, records, ledger, response, trust",records computer field substitutions replacement phrases context portions record relevance
25,1.0,0.4052,"content, file, document, media, hash, ID, ledger, metadata, software, container",units hashes plurality structure hash integrity communication unit proofs verification
26,0.0,0.625,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",DNS trust object embodiments ability service anchor verifier root interest
27,0.0,0.7495,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",DNS trust object embodiments ability service anchor verifier root interest
28,8.0,0.3627,"contract, communication, processor, module, devices, memory, interface, IoT, function, component",identity activity processor reputation memory score weighting computer stores provider
29,2.0,0.6911,"vehicle, unit, power, sensor, energy, control, video, battery, devices, air",comparison climate energy group device server devices target period dwelling
30,10.0,0.4649,"access, resource, devices, ledger, security, platform, embodiments, transactions, management, invention",parties cash exchange transaction transactions tokens settlement entities values anonymity
31,0.0,0.8414,"key, authentication, identity, signature, verification, certificate, hash, encryption, identifier, message",hash device key transaction algorithm database response Logic transmission service
