topic number,label,keywords
0,key signature authority certificate authority key key,key authentication identity signature verification certificate hash encryption identifier message
1,content metadata content file metadata document,content file document media hash ID ledger metadata software container
2,cargo power source power energy drive,vehicle unit power sensor energy control video battery devices air
3,image feature prediction input sequence images,image object input target feature code identification result parameter images
4,currency currency transfer account amount currency request amount,account asset payment amount exchange transfer assets address customer currency
5,service request service server application client client,service server client target application provider response identifier access result
6,entity record event health record records,entity record event database profile item records ledger response trust
7,surface destination location wall direction antennas,location display fingerprint tag package area radio delivery objects frame
8,communication interface functions memory module,contract communication processor module devices memory interface IoT function component
9,node consensus nodes master node node node,node nodes message consensus group messages peer transactions operation ledger
10,embodiments andor management security entities,access resource devices ledger security platform embodiments transactions management invention
11,storage apparatus computer programs computer programs computer programs computer,storage computer blocks hash apparatus media programs values ledger requests
